itemLabel,date_of_birth,date_of_death
Hans Jonas,1903-05-10T00:00:00Z,1993-02-05T00:00:00Z
August Wilhelm Schlegel,1767-09-08T00:00:00Z,1845-05-12T00:00:00Z
Carl Stumpf,1848-04-21T00:00:00Z,1936-12-25T00:00:00Z
Christian Thomasius,1655-01-01T00:00:00Z,1728-09-23T00:00:00Z
László Katus,1927-07-13T00:00:00Z,2015-01-26T00:00:00Z
Hermann Lotze,1817-05-21T00:00:00Z,1881-07-01T00:00:00Z
Houston Stewart Chamberlain,1855-09-09T00:00:00Z,1927-01-09T00:00:00Z
Hugo Münsterberg,1863-06-01T00:00:00Z,1916-12-16T00:00:00Z
Edmund Husserl,1859-04-08T00:00:00Z,1938-04-26T00:00:00Z
Mikhail Lomonosov,1711-11-19T00:00:00Z,1765-04-15T00:00:00Z
Karl-Otto Apel,1922-03-15T00:00:00Z,2017-05-15T00:00:00Z
Diogenes of Oenoanda,0200-01-01T00:00:00Z,0200-01-01T00:00:00Z
Diogenes Laërtius,0180-01-01T00:00:00Z,0240-01-01T00:00:00Z
Diogenes of Sinope,-410-01-01T00:00:00Z,-321-01-01T00:00:00Z
Diogenes of Sinope,-403-01-01T00:00:00Z,-321-01-01T00:00:00Z
Lionel Giles,1875-12-29T00:00:00Z,1958-01-22T00:00:00Z
Richard Carrier,1969-12-01T00:00:00Z,
Hannah Arendt,1906-10-14T00:00:00Z,1975-12-04T00:00:00Z
Gottlob Frege,1848-11-08T00:00:00Z,1925-07-26T00:00:00Z
Herbert Marcuse,1898-07-19T00:00:00Z,1979-07-29T00:00:00Z
Albertus Magnus,,1280-11-22T00:00:00Z
Friedrich Wilhelm Joseph Schelling,1775-01-27T00:00:00Z,1854-08-20T00:00:00Z
Wilhelm Dilthey,1833-11-19T00:00:00Z,1911-10-01T00:00:00Z
Josef Ludvik Fischer,1894-11-06T00:00:00Z,1973-02-17T00:00:00Z
Paul Tillich,1886-08-20T00:00:00Z,1965-10-22T00:00:00Z
Karl Korsch,1886-08-15T00:00:00Z,1961-10-21T00:00:00Z
Johann Bernhard Basedow,1723-09-11T00:00:00Z,1790-07-25T00:00:00Z
Johannes Althusius,1563-01-01T00:00:00Z,1638-08-12T00:00:00Z
Thomas Luckmann,1927-10-14T00:00:00Z,2016-05-10T00:00:00Z
Gerhard Gentzen,1909-11-24T00:00:00Z,1945-08-04T00:00:00Z
Thomas Abbt,1738-11-25T00:00:00Z,1766-11-03T00:00:00Z
Madhukar,1957-11-04T00:00:00Z,
Novalis,1772-05-02T00:00:00Z,1801-03-25T00:00:00Z
Hermann Graf Keyserling,1880-07-20T00:00:00Z,1946-04-26T00:00:00Z
Ludwig Klages,1872-12-10T00:00:00Z,1956-07-29T00:00:00Z
Axel Honneth,1949-06-18T00:00:00Z,
John Austin,1790-03-03T00:00:00Z,1859-12-01T00:00:00Z
Günther Anders,1902-07-12T00:00:00Z,1992-12-17T00:00:00Z
Jeremy Bentham,1748-02-15T00:00:00Z,1832-06-06T00:00:00Z
Joseph Dietzgen,1828-12-09T00:00:00Z,1888-04-15T00:00:00Z
Wilhelm Ackermann,1896-03-29T00:00:00Z,1962-12-24T00:00:00Z
Albert of Saxony,1316-01-01T00:00:00Z,1390-07-16T00:00:00Z
Johann Reuchlin,1455-02-07T00:00:00Z,1522-07-10T00:00:00Z
Walter Benjamin,1892-07-15T00:00:00Z,1940-09-26T00:00:00Z
Eduard Spranger,1882-06-27T00:00:00Z,1963-09-17T00:00:00Z
Josef Pieper,1904-05-04T00:00:00Z,1997-11-06T00:00:00Z
Erich Neumann,1905-01-23T00:00:00Z,1960-11-05T00:00:00Z
Hans Blumenberg,1920-07-13T00:00:00Z,1996-03-28T00:00:00Z
Oswald Külpe,1862-08-03T00:00:00Z,1915-12-30T00:00:00Z
Kuno Fischer,1824-07-23T00:00:00Z,1907-07-05T00:00:00Z
Hans Robert Jauss,1921-12-12T00:00:00Z,1997-03-01T00:00:00Z
Reinhart Koselleck,1923-04-23T00:00:00Z,2006-02-03T00:00:00Z
Friedrich Adolf Trendelenburg,1802-11-30T00:00:00Z,1872-01-24T00:00:00Z
Gabriel Biel,1418-01-01T00:00:00Z,1495-12-07T00:00:00Z
Elisabeth of the Palatinate,1618-12-26T00:00:00Z,1680-02-08T00:00:00Z
Elisabeth of the Palatinate,1618-12-26T00:00:00Z,1680-02-11T00:00:00Z
Theodor Lessing,1872-02-08T00:00:00Z,1933-08-30T00:00:00Z
Theodor Lessing,1872-02-08T00:00:00Z,1933-08-31T00:00:00Z
Kurd Lasswitz,1848-04-20T00:00:00Z,1910-10-17T00:00:00Z
