itemLabel,date_of_birth,date_of_death
Ali Akbar Rashad,1955-01-01T00:00:00Z,
Q5944533,,
José Porfirio Miranda,1924-09-15T00:00:00Z,2001-10-09T00:00:00Z
José Ramón Ayllón,1955-01-01T00:00:00Z,
Q5945639,1966-01-01T00:00:00Z,
Q5945885,,
Q5946224,,
Luo Rufang,1515-01-01T00:00:00Z,1588-01-01T00:00:00Z
Juan Arana,1950-01-01T00:00:00Z,
Juan Arnau,1968-04-28T00:00:00Z,
mohammad zeimaran,,
Adriana Cavarero,1947-01-01T00:00:00Z,
Adriano Bausola,1930-12-22T00:00:00Z,2000-04-28T00:00:00Z
Adriano Tilgher,1887-01-08T00:00:00Z,1941-11-03T00:00:00Z
Q3606711,,
Agostino da Norcia,1301-01-01T00:00:00Z,1500-01-01T00:00:00Z
Ahmed Khan,1817-01-01T00:00:00Z,1898-01-01T00:00:00Z
Al-Harran,1030-01-01T00:00:00Z,1085-01-01T00:00:00Z
Albertino Bottoni,,1596-12-01T00:00:00Z
Alberto Boccanegra,1920-10-19T00:00:00Z,2010-07-11T00:00:00Z
Alberto Burgio,1955-05-13T00:00:00Z,
Alberto Caracciolo,1918-01-22T00:00:00Z,1990-10-04T00:00:00Z
Alberto Giovanni Biuso,1960-01-01T00:00:00Z,
Alberto Radicati,1698-11-11T00:00:00Z,1737-10-24T00:00:00Z
Albino Galvano,1907-12-16T00:00:00Z,1990-12-18T00:00:00Z
Aldo Ferrabino,1892-06-26T00:00:00Z,1972-10-30T00:00:00Z
Alessandro Biral,1942-01-01T00:00:00Z,1996-01-01T00:00:00Z
Alessandro Luzzago,1551-10-01T00:00:00Z,
Alessio Macrembolite,1301-01-01T00:00:00Z,1400-01-01T00:00:00Z
Alexander Gerard,1728-02-22T00:00:00Z,1795-02-22T00:00:00Z
Alfonso Maurizio Iacono,1949-09-16T00:00:00Z,
Alfred Richard Orage,1873-01-22T00:00:00Z,1934-11-06T00:00:00Z
Alfredo Gontier,1301-01-01T00:00:00Z,
Alfredo Poggi,1881-05-04T00:00:00Z,1974-01-13T00:00:00Z
Amedeo Giovanni Conte,1934-05-24T00:00:00Z,
Anchipilo,,
Andrea Angiulli,1837-02-12T00:00:00Z,1890-01-02T00:00:00Z
Andrea Emo,1901-10-14T00:00:00Z,1983-12-11T00:00:00Z
Andrea Tagliapietra,1962-03-07T00:00:00Z,
Denis Lerrer Rosenfield,1950-11-21T00:00:00Z,
Amphicrates of Athens,,
Angela Ales Bello,1940-01-01T00:00:00Z,
Angelo Camillo De Meis,1817-07-14T00:00:00Z,1891-03-06T00:00:00Z
Angelo Conti,1860-06-21T00:00:00Z,1930-07-08T00:00:00Z
Angelo Paggi,1789-05-04T00:00:00Z,1867-06-07T00:00:00Z
Angelo Santilli,1822-10-28T00:00:00Z,1848-05-15T00:00:00Z
Anna Camaiti Hostert,1949-07-19T00:00:00Z,
Valentino Annibale Pastore,1868-11-13T00:00:00Z,1956-02-27T00:00:00Z
Antimo Negri,1923-02-25T00:00:00Z,2005-04-28T00:00:00Z
Antonio Alabanti,,1495-12-08T00:00:00Z
Antonio Bernardi,1502-03-01T00:00:00Z,1565-06-03T00:00:00Z
Antonio Capizzi,1926-12-07T00:00:00Z,2003-11-18T00:00:00Z
Antonio Catara Lettieri,1809-01-01T00:00:00Z,1884-01-01T00:00:00Z
Antonio Fulci,1810-01-18T00:00:00Z,1882-01-01T00:00:00Z
Antonio Hercolani Fava Simonetti,1883-01-22T00:00:00Z,1962-06-18T00:00:00Z
Antonio Livi,1938-08-25T00:00:00Z,
Antonio Rocco,1586-01-01T00:00:00Z,1652-03-01T00:00:00Z
Antonio Sarno,1887-01-01T00:00:00Z,1932-02-25T00:00:00Z
Antonio Santucci,1926-09-26T00:00:00Z,2006-01-20T00:00:00Z
Antonio Tari,1809-07-01T00:00:00Z,1884-03-15T00:00:00Z
Antonius Andreas,1280-01-01T00:00:00Z,1320-01-01T00:00:00Z
Apollonide,,
Apollonide di Smirne,,
Apollonio Aristarcheo,,
Arimnesto,,
Armando Carlini,1878-08-09T00:00:00Z,1959-09-30T00:00:00Z
Armando Massarenti,1961-01-01T00:00:00Z,
Armando Plebe,1927-09-12T00:00:00Z,2017-03-17T00:00:00Z
Armando Rigobello,1924-02-03T00:00:00Z,2016-04-05T00:00:00Z
Armando Verdiglione,1944-11-30T00:00:00Z,
Arnold Davidson,1955-07-22T00:00:00Z,
Arturo Reghini,1878-11-12T00:00:00Z,1946-07-01T00:00:00Z
Aelius Antipater,,
Atamante,,
Augusto Conti,1822-12-06T00:00:00Z,1905-03-06T00:00:00Z
Augusto Guzzo,1894-01-24T00:00:00Z,1986-08-23T00:00:00Z
Augusto Murri,1841-09-08T00:00:00Z,1932-11-11T00:00:00Z
Augusto Ponzio,1942-02-17T00:00:00Z,
Janus Parrhasius,1471-01-06T00:00:00Z,1522-01-01T00:00:00Z
Maṇḍana Miśra,,
Gopinath Kaviraj,1887-09-07T00:00:00Z,1976-06-12T00:00:00Z
Baldassarre Poli,1795-09-14T00:00:00Z,1883-09-06T00:00:00Z
Udayana,,
Dadu Dayal,1544-01-01T00:00:00Z,1603-01-01T00:00:00Z
Sadhu T. L. Vaswani,1879-11-25T00:00:00Z,1966-01-16T00:00:00Z
Gangesha Upadhyaya,,
Indra Sen,1903-05-13T00:00:00Z,1994-03-14T00:00:00Z
Bartolomeo Fallamonica Gentile,1450-01-01T00:00:00Z,1500-01-01T00:00:00Z
Bartholomew Mastrius,1602-12-07T00:00:00Z,1673-01-11T00:00:00Z
Battista Mondin,1926-07-29T00:00:00Z,2015-01-29T00:00:00Z
Benedetto D'Acquisto,1790-02-01T00:00:00Z,1867-08-07T00:00:00Z
Benno Kerry,1858-12-11T00:00:00Z,1889-05-20T00:00:00Z
Bernardino Tomitano,1517-01-01T00:00:00Z,1576-01-01T00:00:00Z
Bernardino Varisco,1850-04-20T00:00:00Z,1933-10-21T00:00:00Z
Q3639120,,
Bonaventura Belluto,1600-01-01T00:00:00Z,1676-05-18T00:00:00Z
Bonaventura Mazzarella,1818-02-06T00:00:00Z,1882-03-06T00:00:00Z
Edwyn Bevan,1870-02-15T00:00:00Z,1943-10-18T00:00:00Z
Bruno Nardi,1884-01-01T00:00:00Z,1968-01-01T00:00:00Z
Calogero Angelo Sacheli,1890-01-01T00:00:00Z,1946-01-01T00:00:00Z
Shalva Nutsubidze,1888-12-14T00:00:00Z,1969-01-06T00:00:00Z
Camillo Baldi,1547-01-01T00:00:00Z,1637-03-24T00:00:00Z
Robert Stolorow,1942-11-04T00:00:00Z,
Yasuhiko Kimura,1954-01-01T00:00:00Z,
Panait Cerna,1881-08-26T00:00:00Z,1913-03-26T00:00:00Z
Stanoje Stanojević,1874-08-24T00:00:00Z,1937-07-30T00:00:00Z
Q3658100,1899-09-07T00:00:00Z,1968-04-10T00:00:00Z
Q3658106,1897-03-01T00:00:00Z,1993-04-24T00:00:00Z
Dimiter Skordev,1936-01-01T00:00:00Z,
Carlo Antoni,1896-08-15T00:00:00Z,1959-08-03T00:00:00Z
Carlo Belleo,1540-01-01T00:00:00Z,1600-01-01T00:00:00Z
Paul the Persian,,
Bernard Mayo,1921-01-01T00:00:00Z,2000-02-14T00:00:00Z
Bernard O'Brien,1907-12-09T00:00:00Z,1982-01-03T00:00:00Z
Bernard Philip Kelly,1907-01-01T00:00:00Z,1958-01-01T00:00:00Z
Dio of Alexandria,,
Bernard Yack,1952-01-01T00:00:00Z,
Gabriel Albiac,1950-05-03T00:00:00Z,
Juliana Morell,1594-02-16T00:00:00Z,1653-06-26T00:00:00Z
Cèlia Amorós Puente,1944-05-18T00:00:00Z,
Bijan Abdolkarimi,1963-01-01T00:00:00Z,
Bill Martin,1956-01-01T00:00:00Z,
Bimal Krishna Matilal,1935-06-01T00:00:00Z,1991-06-08T00:00:00Z
Blay Whitby,,
Bob Doyle,1936-06-19T00:00:00Z,
Bob Meyer,1932-05-27T00:00:00Z,2009-05-06T00:00:00Z
Bodhananda Swamikal,1883-01-01T00:00:00Z,1928-01-01T00:00:00Z
Bohdan Urbankowski,1943-01-01T00:00:00Z,
Sissela Bok,1934-12-02T00:00:00Z,
Bonnie Steinbock,,
Bonny Hicks,1968-01-05T00:00:00Z,1997-12-19T00:00:00Z
Sara Danius,1962-04-05T00:00:00Z,
Boris Furlan,1894-11-10T00:00:00Z,1957-06-10T00:00:00Z
Elisabeth Gerle,1951-12-08T00:00:00Z,
Ann Heberlein,1970-06-22T00:00:00Z,
Božena Komárková,1903-01-28T00:00:00Z,1997-01-27T00:00:00Z
Božidar Debenjak,1935-05-07T00:00:00Z,
Brad Hooker,1957-09-13T00:00:00Z,
Bradley Shavit Artson,1959-01-01T00:00:00Z,
Ingeborg i Mjärhult,1665-01-01T00:00:00Z,1749-07-23T00:00:00Z
Brajendra Nath Seal,1864-01-01T00:00:00Z,1938-01-01T00:00:00Z
Branislav Petronijević,1875-04-06T00:00:00Z,1954-03-04T00:00:00Z
Mojca Kumerdej,1964-01-01T00:00:00Z,
Brendan Myers,1974-07-04T00:00:00Z,
Brian Cantwell Smith,,
Brian David Ellis,1929-01-01T00:00:00Z,
Brian Davies,1951-01-01T00:00:00Z,
Brian Klug,,
Brian Leftow,1956-01-01T00:00:00Z,
Brian Leiter,1963-01-01T00:00:00Z,
Brian Manning Delaney,1965-01-01T00:00:00Z,
Brian McGuinness,1927-10-22T00:00:00Z,
Brian O'Shaughnessy,1925-09-10T00:00:00Z,2010-07-07T00:00:00Z
Brian Orend,,
Brian Weatherson,,
Margaret Masterman,1910-05-04T00:00:00Z,1986-04-01T00:00:00Z
Brie Gertler,,
Henrik Syse,1966-04-19T00:00:00Z,
Bron Taylor,1955-04-15T00:00:00Z,
Norbert M. Samuelson,1936-02-15T00:00:00Z,
Bronius Kuzmickas,1935-11-10T00:00:00Z,
Marc B. Shapiro,1966-01-01T00:00:00Z,
Ingrid Robeyns,1972-01-01T00:00:00Z,
Bruce Weinstein,,
Bruce Wilshire,,
Maitreyi,,
Frederik Christian Eilschov,1725-02-13T00:00:00Z,1750-10-15T00:00:00Z
Johanne Agerskov,1873-01-01T00:00:00Z,1946-01-01T00:00:00Z
Burleigh Taylor Wilkins,1932-01-01T00:00:00Z,
Burton Dreben,1927-09-27T00:00:00Z,1999-07-11T00:00:00Z
Béatrice Longuenesse,1950-01-01T00:00:00Z,
David ben Boaz,,
C. D. C. Reeve,1948-09-10T00:00:00Z,
C. E. M. Joad,1891-08-12T00:00:00Z,1953-04-09T00:00:00Z
C. J. F. Williams,1930-12-31T00:00:00Z,1997-03-25T00:00:00Z
C. T. K. Chari,1909-06-05T00:00:00Z,1993-01-05T00:00:00Z
Mooji,1954-01-29T00:00:00Z,
Jaishree Odin,,
Calvin Normore,1948-06-25T00:00:00Z,
Camil Mureşanu,1927-04-20T00:00:00Z,2015-02-21T00:00:00Z
Canchupati Venkatrao Venkaswami Rao,1868-08-04T00:00:00Z,1922-05-12T00:00:00Z
Candace Vogler,,
Carl Davidson,1943-01-01T00:00:00Z,
Carl Watner,1948-01-01T00:00:00Z,
Carlin Romano,,
Carlo Penco,1948-01-01T00:00:00Z,
Carlos Alberto Sacheri,1933-10-22T00:00:00Z,1974-12-22T00:00:00Z
Carlos Andrés Segovia,1970-05-22T00:00:00Z,
Carlos Cirne Lima,1931-01-01T00:00:00Z,
Caroline Haddon,1837-04-15T00:00:00Z,1905-03-13T00:00:00Z
Caroline Joan S. Picart,1966-01-31T00:00:00Z,
Carveth Read,1848-03-16T00:00:00Z,1931-12-06T00:00:00Z
Cathal Ó Matadain,,1343-01-01T00:00:00Z
Catherine Elgin,1948-01-01T00:00:00Z,
Catherine Pickstock,,
Cattamanchi Ramalinga Reddy,1880-12-10T00:00:00Z,1951-02-24T00:00:00Z
Cecil Alec Mace,1894-01-01T00:00:00Z,1971-06-07T00:00:00Z
Celia Green,1935-11-26T00:00:00Z,
Cemal Yıldırım,1925-01-01T00:00:00Z,2009-03-01T00:00:00Z
Cezary Wodziński,1959-05-27T00:00:00Z,2016-06-12T00:00:00Z
Chaganti Koteswara Rao,,
Chandrasekhara Bharati III,1892-10-16T00:00:00Z,1954-09-26T00:00:00Z
Chandraswami,1948-01-01T00:00:00Z,2017-05-23T00:00:00Z
Charles-Jean Baptiste Bonnin,1772-10-04T00:00:00Z,1846-10-01T00:00:00Z
Charles Blattberg,1967-01-01T00:00:00Z,
Charles Butterworth,1938-01-01T00:00:00Z,
Charles Carroll Everett,1829-06-19T00:00:00Z,1900-10-16T00:00:00Z
Charles Frankel,1917-12-13T00:00:00Z,1979-05-10T00:00:00Z
Charles Graves,1812-12-06T00:00:00Z,1899-07-17T00:00:00Z
Charles Lane,1800-01-01T00:00:00Z,1870-01-01T00:00:00Z
Charles Mackinnon Douglas,1865-10-02T00:00:00Z,1924-02-03T00:00:00Z
Jacobus Dedelley,1694-03-24T00:00:00Z,1757-06-28T00:00:00Z
Jacques Martin,1922-05-18T00:00:00Z,1964-08-01T00:00:00Z
Jad Hatem,1952-12-03T00:00:00Z,
Jakob Barion,1898-07-23T00:00:00Z,1996-02-16T00:00:00Z
Jacob Friedrich Roennberg,1738-07-20T00:00:00Z,1809-11-04T00:00:00Z
Jakob Friedrich Reiff,1810-12-23T00:00:00Z,1879-07-06T00:00:00Z
Jakob Maximilian Stepischnegg,1815-07-22T00:00:00Z,1889-06-28T00:00:00Z
Jakob Salat,1766-08-22T00:00:00Z,1851-02-11T00:00:00Z
Jacob Wegelin,1721-06-19T00:00:00Z,1791-09-28T00:00:00Z
James Black Baillie,1872-10-24T00:00:00Z,1940-06-09T00:00:00Z
"James Burnett, Lord Monboddo",1714-10-25T00:00:00Z,1799-05-26T00:00:00Z
James Martineau,1805-04-21T00:00:00Z,1900-01-11T00:00:00Z
James MacKaye,1872-04-08T00:00:00Z,1935-01-22T00:00:00Z
J. O. Urmson,1915-03-04T00:00:00Z,2012-01-29T00:00:00Z
James Rachels,1941-05-30T00:00:00Z,2003-09-05T00:00:00Z
Johan Teyler,1648-05-23T00:00:00Z,1709-01-01T00:00:00Z
Svend Ranulf,1894-03-26T00:00:00Z,1953-03-16T00:00:00Z
Jan Březina,1930-02-25T00:00:00Z,1994-07-08T00:00:00Z
Jan Vogeler,1923-10-09T00:00:00Z,2005-01-23T00:00:00Z
Jan Zwicky,1955-05-10T00:00:00Z,
Jane Mansbridge,1939-11-19T00:00:00Z,
Woldemar Oskar Döring,1880-10-24T00:00:00Z,1948-09-20T00:00:00Z
Wolfgang Kuhlmann,1939-10-19T00:00:00Z,
Karl-Heinz Volkmann-Schluck,1914-11-15T00:00:00Z,1981-10-25T00:00:00Z
Jaromír Bartoš,1927-03-28T00:00:00Z,1972-04-13T00:00:00Z
Jason Stanley,1969-10-12T00:00:00Z,
Jay Rosenberg,1942-04-18T00:00:00Z,2008-02-21T00:00:00Z
Jean-Baptiste Jeangène Vilmer,1978-09-25T00:00:00Z,
Jean-Claude Wolf,1953-12-14T00:00:00Z,
Jean-Joseph Surin,1600-02-06T00:00:00Z,1665-04-22T00:00:00Z
Jean-Louis Déotte,1946-01-01T00:00:00Z,
Jean Bollack,1923-03-15T00:00:00Z,2012-12-04T00:00:00Z
Jean Clam,1958-06-17T00:00:00Z,
Emil Taubert,1844-01-23T00:00:00Z,1895-04-10T00:00:00Z
Jean Nicod,1893-01-01T00:00:00Z,1924-02-16T00:00:00Z
Jean-Guillaume-César-Alexandre-Hippolyte Colins,1783-12-24T00:00:00Z,1859-11-12T00:00:00Z
Theo Kobusch,1948-04-09T00:00:00Z,
Jens Halfwassen,1958-11-16T00:00:00Z,
Alan Gewirth,1912-11-28T00:00:00Z,2004-05-09T00:00:00Z
Jerrold Katz,1932-07-14T00:00:00Z,2002-02-07T00:00:00Z
Rolf Schönberger,1954-10-25T00:00:00Z,
Jiří Bednář,1935-11-25T00:00:00Z,1973-08-23T00:00:00Z
Wilhelm Josef Revers,1918-08-18T00:00:00Z,1987-04-05T00:00:00Z
Joachim Kopper,1925-07-31T00:00:00Z,2013-04-17T00:00:00Z
Joachim Stephani,1544-01-01T00:00:00Z,1623-01-14T00:00:00Z
Joaquim de Carvalho,1892-06-10T00:00:00Z,1958-10-27T00:00:00Z
Joel Feinberg,1926-10-19T00:00:00Z,2004-03-29T00:00:00Z
Johan van Benthem,1949-06-12T00:00:00Z,
Johann Adolf Dori,1765-01-01T00:00:00Z,1807-01-01T00:00:00Z
Johann Baptist Eiselin,1637-04-04T00:00:00Z,1693-10-09T00:00:00Z
Johann Carl Friedrich Leune,1757-01-21T00:00:00Z,1825-01-23T00:00:00Z
Johann Christian Hebenstreit,1686-04-21T00:00:00Z,1756-12-06T00:00:00Z
Johann Christoph Muhrbeck,1733-01-07T00:00:00Z,1805-01-15T00:00:00Z
Christoph Rassler,1654-08-12T00:00:00Z,1723-07-16T00:00:00Z
Johann Daniel Salzmann,1722-03-26T00:00:00Z,1812-08-20T00:00:00Z
Johann Erich Berger,1772-09-01T00:00:00Z,1833-02-22T00:00:00Z
Johann Georg Carl Klotzsch,1763-12-19T00:00:00Z,1819-07-10T00:00:00Z
Karl Spazier,1761-04-20T00:00:00Z,1805-01-19T00:00:00Z
Johann Götschl,1939-07-14T00:00:00Z,
Johann Heinrich Tieftrunk,1759-01-01T00:00:00Z,1837-10-07T00:00:00Z
Johann Heinrich Witte,1846-11-14T00:00:00Z,1908-01-31T00:00:00Z
Johann Josef Regenbrecht,1797-09-23T00:00:00Z,1854-05-04T00:00:00Z
Johann Kreuzer,1954-11-23T00:00:00Z,
Johann Schultingh,1630-01-01T00:00:00Z,1666-09-01T00:00:00Z
Johann Wilhelm von Berger,1672-09-01T00:00:00Z,1751-04-27T00:00:00Z
Johannes Baptist Lotz,1903-08-02T00:00:00Z,1992-06-03T00:00:00Z
Johannes Ernst Seiffert,1925-07-07T00:00:00Z,2009-11-15T00:00:00Z
Johannes Geuß,1370-01-01T00:00:00Z,1440-08-07T00:00:00Z
Johannes Heinrichs,1942-09-17T00:00:00Z,
Johannes Hirschberger,1900-05-07T00:00:00Z,1990-11-27T00:00:00Z
Johannes Hoffmeister,1907-12-17T00:00:00Z,1955-10-19T00:00:00Z
Johann Neldel,1554-01-01T00:00:00Z,1612-02-12T00:00:00Z
John Punch,1603-01-01T00:00:00Z,1661-05-26T00:00:00Z
Johann Sperlette,1661-11-29T00:00:00Z,1725-02-05T00:00:00Z
Johannes Thyssen,1892-08-22T00:00:00Z,1968-11-25T00:00:00Z
Johannes Timmermann,1929-04-07T00:00:00Z,2012-05-01T00:00:00Z
John Versor,1500-01-01T00:00:00Z,1485-01-01T00:00:00Z
Johannes Wenceslai von Prag,1400-01-01T00:00:00Z,
Johannes Werner Klein,1898-06-24T00:00:00Z,1984-03-09T00:00:00Z
John Corcoran,1937-01-01T00:00:00Z,
Ottmar Dittrich,1865-11-12T00:00:00Z,1951-10-16T00:00:00Z
John Heydon,1629-09-10T00:00:00Z,1667-01-01T00:00:00Z
John Hospers,1918-06-09T00:00:00Z,2011-06-12T00:00:00Z
John J. DeGioia,1957-01-01T00:00:00Z,
Peter Lipton,1954-10-09T00:00:00Z,2007-11-25T00:00:00Z
J. L. Ackrill,1921-12-30T00:00:00Z,2007-11-30T00:00:00Z
John Lutterell,,1335-01-01T00:00:00Z
John Perry,1943-01-16T00:00:00Z,
John R. Steel,1948-10-30T00:00:00Z,
John Lucas,1929-06-18T00:00:00Z,
John Richardson,1951-01-01T00:00:00Z,
John Sallis,1938-01-01T00:00:00Z,
John Stuart Mackenzie,1860-02-29T00:00:00Z,1935-12-06T00:00:00Z
John W. N. Watkins,1924-07-31T00:00:00Z,1999-07-26T00:00:00Z
John Watson,1847-02-25T00:00:00Z,1939-01-27T00:00:00Z
John de Ruiter,1959-11-11T00:00:00Z,
Yom-Tov Lipmann-Muhlhausen,1400-01-01T00:00:00Z,1500-01-01T00:00:00Z
Terence Horgan,1948-10-13T00:00:00Z,
Josef Casper,1906-05-02T00:00:00Z,1951-10-26T00:00:00Z
Josef Derbolav,1912-03-24T00:00:00Z,1987-07-14T00:00:00Z
Juan Andrés,1740-02-15T00:00:00Z,1817-01-12T00:00:00Z
Juan Andrés,1740-02-15T00:00:00Z,1817-01-13T00:00:00Z
Jaimini,,
Potamo of Alexandria,,
Q2766137,1721-01-01T00:00:00Z,1787-01-01T00:00:00Z
Matthew Foreman,1957-03-21T00:00:00Z,
Michael Anderheiden,1963-09-12T00:00:00Z,
Jan Hollak,1915-01-01T00:00:00Z,2003-01-01T00:00:00Z
Edward Kessler,1963-01-01T00:00:00Z,
Zhang Junmai,1886-01-01T00:00:00Z,1969-01-01T00:00:00Z
Augustin Mansion,1882-01-01T00:00:00Z,1966-01-01T00:00:00Z
Frans Coppelmans,1925-01-31T00:00:00Z,1993-12-31T00:00:00Z
Samuel Johnson,1696-10-14T00:00:00Z,1771-01-06T00:00:00Z
Pieter van der Hoeven,1911-10-25T00:00:00Z,1980-09-26T00:00:00Z
Frank Meester,1970-04-14T00:00:00Z,
Rob Riemen,1962-02-18T00:00:00Z,
Stefan Brotbeck,1962-04-14T00:00:00Z,
Abbaucas,,
Abu l-Faraj at-Tayyib,0980-01-01T00:00:00Z,1043-01-01T00:00:00Z
Abdelmalek Sayad,1933-11-24T00:00:00Z,1998-03-13T00:00:00Z
Abdennour Bidar,1971-01-13T00:00:00Z,
Abdullah al-Qasemi,1907-01-01T00:00:00Z,1996-01-09T00:00:00Z
Abel Rey,1873-12-29T00:00:00Z,1940-01-13T00:00:00Z
Abraham Tucker,1705-09-02T00:00:00Z,1774-11-20T00:00:00Z
Abu Bishr Matta ibn Yunus,,0940-06-20T00:00:00Z
Abu Sahl 'Isa ibn Yahya al-Masihi,0960-01-01T00:00:00Z,1000-01-01T00:00:00Z
Abu al-Abbas as-Sabti,1129-01-01T00:00:00Z,1204-01-01T00:00:00Z
Addison Webster Moore,1866-07-30T00:00:00Z,1930-08-25T00:00:00Z
Adolphe Garnier,1801-03-27T00:00:00Z,1864-05-04T00:00:00Z
Adèle Van Reeth,1982-01-01T00:00:00Z,
Aguigui Mouna,1911-10-01T00:00:00Z,1999-05-08T00:00:00Z
Ahmad Fardid,1909-01-01T00:00:00Z,1994-08-16T00:00:00Z
Aimé Forest,1898-01-01T00:00:00Z,1983-01-01T00:00:00Z
Rahmatullah Kairanawi,1817-01-01T00:00:00Z,1891-01-01T00:00:00Z
Alain Amselek,1934-01-26T00:00:00Z,
Alain Cugno,1942-01-23T00:00:00Z,
Alain Etchegoyen,1951-11-16T00:00:00Z,2007-04-09T00:00:00Z
Alain Foix,,
Alain Milon,1956-10-27T00:00:00Z,
Alain Renaut,1948-02-25T00:00:00Z,
Alain Roger,1936-01-01T00:00:00Z,
Alain de Libera,1948-09-27T00:00:00Z,
Albert Houtin,1867-10-04T00:00:00Z,1926-07-28T00:00:00Z
Albert Houtin,1867-10-04T00:00:00Z,1926-07-29T00:00:00Z
Albert Leclère,1867-01-01T00:00:00Z,1920-12-17T00:00:00Z
Alberto Toscano,1977-01-01T00:00:00Z,
Aleksander Tyszyński,1811-05-21T00:00:00Z,1880-09-05T00:00:00Z
Alessandro Pascoli,1669-01-10T00:00:00Z,1757-02-05T00:00:00Z
Alexandre César Chavannes,1731-07-30T00:00:00Z,1800-05-02T00:00:00Z
Alexandre Jollien,1975-11-26T00:00:00Z,
Alexandre Matheron,1926-01-01T00:00:00Z,
Alexandre Mercereau,1884-10-22T00:00:00Z,1945-01-01T00:00:00Z
Alexis Kagame,1912-05-15T00:00:00Z,1981-12-02T00:00:00Z
Alexis Philonenko,1932-01-01T00:00:00Z,
Alfred Espinas,1844-05-23T00:00:00Z,1922-02-24T00:00:00Z
Ali al-Qari,1600-01-01T00:00:00Z,1605-01-01T00:00:00Z
Allen Carlson,1943-03-03T00:00:00Z,
Roger Marston,,1303-01-01T00:00:00Z
Alphonse Darlu,1849-03-20T00:00:00Z,1921-05-05T00:00:00Z
Alphonse Des Vignoles,1649-10-09T00:00:00Z,1744-07-24T00:00:00Z
Rafael Gutiérrez Girardot,1928-05-05T00:00:00Z,2005-05-26T00:00:00Z
Alastair Hannay,1932-01-01T00:00:00Z,
Amédée Ponceau,1884-01-01T00:00:00Z,1948-01-01T00:00:00Z
Ando Shoeki,1703-01-01T00:00:00Z,1762-01-01T00:00:00Z
Andrew Feenberg,1943-01-01T00:00:00Z,
André-François Deslandes,1689-05-21T00:00:00Z,1757-04-11T00:00:00Z
André Beem,1937-01-01T00:00:00Z,2006-07-07T00:00:00Z
André Charrak,,
André Devaux,1921-05-03T00:00:00Z,
André Fauconnet,1881-02-17T00:00:00Z,1965-01-01T00:00:00Z
André Graindorge,1616-01-01T00:00:00Z,1676-01-13T00:00:00Z
André Hirt,1955-01-01T00:00:00Z,
André Lalande,1867-07-19T00:00:00Z,1963-11-15T00:00:00Z
André Malet,1920-01-01T00:00:00Z,1989-10-21T00:00:00Z
André Moreau,1941-02-08T00:00:00Z,
André Robinet,1922-01-19T00:00:00Z,2016-10-13T00:00:00Z
André Scala,1950-03-01T00:00:00Z,
André Stanguennec,1941-01-01T00:00:00Z,
André Tiraqueau,1488-01-01T00:00:00Z,1558-01-01T00:00:00Z
André de Muralt,,
Angèle Kremer-Marietti,1927-01-01T00:00:00Z,2013-11-21T00:00:00Z
Anne Cauquelin,,
Annemarie Mol,1958-09-13T00:00:00Z,
Annie Leclerc,1940-07-21T00:00:00Z,2006-10-13T00:00:00Z
Antoine Blanc de Saint-Bonnet,1815-01-28T00:00:00Z,1880-06-02T00:00:00Z
Antoine Charma,1801-01-15T00:00:00Z,1869-08-05T00:00:00Z
Antoine Garaby de La Luzerne,1617-10-28T00:00:00Z,1679-07-04T00:00:00Z
Joep Dohmen,1949-12-17T00:00:00Z,
Fu Sheng,,
Antoine de Padoue Rahajarizafy,1911-04-07T00:00:00Z,1974-03-02T00:00:00Z
Aristodemus of Nysae,-200-01-01T00:00:00Z,-100-01-01T00:00:00Z
Aristion,,-085-01-01T00:00:00Z
Armand Cuvillier,1887-10-03T00:00:00Z,1973-04-23T00:00:00Z
Arnaud Corbic,1969-11-22T00:00:00Z,
Arsène Danton,1814-01-01T00:00:00Z,1869-12-19T00:00:00Z
Arthur Hannequin,1856-10-27T00:00:00Z,1905-07-05T00:00:00Z
Arturo Andrés Roig,1922-07-16T00:00:00Z,2012-04-30T00:00:00Z
Auguste Laugel,1830-01-20T00:00:00Z,1914-01-01T00:00:00Z
Auguste Valensin,1879-09-12T00:00:00Z,1953-12-18T00:00:00Z
Augustin Jakubisiak,1884-05-28T00:00:00Z,1945-11-23T00:00:00Z
Q5950097,,
Anders Lidbeck,1772-07-26T00:00:00Z,1829-05-11T00:00:00Z
Xu Ai,1487-01-01T00:00:00Z,1517-01-01T00:00:00Z
Juan José Sebreli,1930-11-03T00:00:00Z,
Q5950584,1971-01-01T00:00:00Z,
Juan Manuel Ortí y Lara,1826-10-29T00:00:00Z,1904-01-07T00:00:00Z
Ayatollah Sheikh Muhammad Taqi Amoli,1887-01-01T00:00:00Z,1971-01-01T00:00:00Z
Huw Owen,1926-12-30T00:00:00Z,1996-10-26T00:00:00Z
Juan Montes de Oca,1465-01-01T00:00:00Z,1532-01-01T00:00:00Z
Juan Rivano,1926-06-24T00:00:00Z,2015-04-16T00:00:00Z
Q5953167,1652-01-01T00:00:00Z,1725-06-07T00:00:00Z
Q5953265,,
Q5953377,,
Q5953667,1948-01-01T00:00:00Z,
Q5953812,,
Juliana González Valenzuela,1936-09-19T00:00:00Z,
Q5954785,1945-01-01T00:00:00Z,
Q5955295,,
Nasrollah Hekmat,1957-01-01T00:00:00Z,
Hyman Levy,1889-01-01T00:00:00Z,1975-01-01T00:00:00Z
