source,target
Gottfried Wilhelm Leibniz,Friedrich Heinrich Jacobi
Immanuel Kant,Friedrich Heinrich Jacobi
Adam Smith,Friedrich Heinrich Jacobi
Baruch Spinoza,Friedrich Heinrich Jacobi
David Hume,Friedrich Heinrich Jacobi
John Locke,John Rawls
Søren Kierkegaard,Walker Percy
Jean-Paul Sartre,Walker Percy
Thomas Aquinas,Walker Percy
Albert Camus,Walker Percy
Gabriel Marcel,Walker Percy
Charles Sanders Peirce,Walker Percy
Susanne Langer,Walker Percy
Karl Marx,Roland Barthes
Jean-Paul Sartre,Roland Barthes
Ferdinand de Saussure,Roland Barthes
Albert Camus,Roland Barthes
Socrates,Antisthenes
Peter Kropotkin,Stephen Jay Gould
Noam Chomsky,Stephen Jay Gould
Carl Gustav Hempel,Jaegwon Kim
Karl Marx,Jean Baudrillard
Ferdinand de Saussure,Jean Baudrillard
Claude Lévi-Strauss,Jean Baudrillard
Vladimir Lenin,Louis Althusser
Mao Zedong,Louis Althusser
Karl Marx,Louis Althusser
Antonio Gramsci,Louis Althusser
Claude Lévi-Strauss,Louis Althusser
Gaston Bachelard,Louis Althusser
Jorge Luis Borges,Gilles Deleuze
Marcel Proust,Gilles Deleuze
Gottfried Wilhelm Leibniz,Gilles Deleuze
Karl Marx,Gilles Deleuze
Sigmund Freud,Gilles Deleuze
Richard Rorty,Cornel West
Denis Diderot,Jacques Barzun
Immanuel Kant,Gilles Deleuze
Friedrich Nietzsche,Gilles Deleuze
Jean-Paul Sartre,Gilles Deleuze
Baruch Spinoza,Gilles Deleuze
David Hume,Gilles Deleuze
Henri Bergson,Gilles Deleuze
Michel Foucault,Gilles Deleuze
Jacques Lacan,Gilles Deleuze
Alfred North Whitehead,Gilles Deleuze
Louis Althusser,Gilles Deleuze
Charles Sanders Peirce,Gilles Deleuze
William S. Burroughs,Gilles Deleuze
Duns Scotus,Gilles Deleuze
Pierre Klossowski,Gilles Deleuze
Félix Guattari,Gilles Deleuze
Georges Canguilhem,Gilles Deleuze
Jakob Johann von Uexküll,Gilles Deleuze
Jean Hyppolite,Gilles Deleuze
Jean Wahl,Gilles Deleuze
Maurice de Gandillac,Gilles Deleuze
Gilbert Simondon,Gilles Deleuze
Ferdinand Alquié,Gilles Deleuze
Fyodor Dostoyevsky,Nicolai Berdyaev
Leo Tolstoy,Nicolai Berdyaev
Immanuel Kant,Nicolai Berdyaev
Friedrich Nietzsche,Nicolai Berdyaev
Arthur Schopenhauer,Nicolai Berdyaev
Friedrich Wilhelm Joseph Schelling,Nicolai Berdyaev
Jakob Böhme,Nicolai Berdyaev
Vladimir Solovyov,Nicolai Berdyaev
Sergei Bulgakov,Nicolai Berdyaev
Nikolai Fyodorovich Fyodorov,Nicolai Berdyaev
University of Hanover,Bernard Bolzano
Vladimir Lenin,Slavoj Žižek
Søren Kierkegaard,Slavoj Žižek
Karl Marx,Slavoj Žižek
Sigmund Freud,Slavoj Žižek
Georg Wilhelm Friedrich Hegel,Slavoj Žižek
Immanuel Kant,Slavoj Žižek
Friedrich Nietzsche,Slavoj Žižek
Maximilien de Robespierre,Slavoj Žižek
Martin Heidegger,Slavoj Žižek
Friedrich Wilhelm Joseph Schelling,Slavoj Žižek
Walter Benjamin,Slavoj Žižek
Theodor W. Adorno,Slavoj Žižek
Jacques Lacan,Slavoj Žižek
G. K. Chesterton,Slavoj Žižek
Louis Althusser,Slavoj Žižek
Alain Badiou,Slavoj Žižek
Fredric Jameson,Slavoj Žižek
Ernesto Laclau,Slavoj Žižek
Božidar Debenjak,Slavoj Žižek
Socrates,Aristippus
Jeremy Bentham,Claude Adrien Helvétius
Henri Bergson,Sri Aurobindo
John Dewey,Sri Aurobindo
Henri Bergson,Gilbert Simondon
Norbert Wiener,Gilbert Simondon
Maurice Merleau-Ponty,Gilbert Simondon
André Leroi-Gourhan,Gilbert Simondon
Georges Canguilhem,Gilbert Simondon
Ludwig Wittgenstein,Norman Malcolm
Jules Verne,Jean-Marie Blas de Roblès
Friedrich Hayek,Philippe Nemo
Karl Popper,Philippe Nemo
René Girard,Philippe Nemo
Emmanuel Levinas,Philippe Nemo
Michael Polanyi,Philippe Nemo
Giovanni Gentile,Clarence Irving Lewis
Josiah Royce,Clarence Irving Lewis
Plato,Valentin Ferdinandovich Asmus
Karl Marx,Valentin Ferdinandovich Asmus
Immanuel Kant,Valentin Ferdinandovich Asmus
Vedanta,Sri Aurobindo
Epicurus,Pierre Gassendi
Martin Heidegger,Jean-François Lyotard
Raymond Aron,Isaiah Berlin
R. G. Collingwood,Isaiah Berlin
Georg Wilhelm Friedrich Hegel,Georges Bataille
Friedrich Nietzsche,Georges Bataille
Lev Shestov,Georges Bataille
Alexandre Kojève,Georges Bataille
Jonathan Edwards,John Wesley
Immanuel Kant,Felix Adler
Francis Bacon,Felix Adler
Ralph Waldo Emerson,Felix Adler
Abraham Geiger,Felix Adler
Friedrich Albert Lange,Felix Adler
Eduard Zeller,Felix Adler
Heymann Steinthal,Felix Adler
Hermann Cohen,Felix Adler
Hermann Bonitz,Felix Adler
Wilhelm von Humboldt,Felix Adler
Matthew Arnold,Felix Adler
Thomas Davidson,Felix Adler
Georg Wilhelm Friedrich Hegel,R.F. Beerling
Friedrich Nietzsche,R.F. Beerling
Martin Heidegger,R.F. Beerling
Henrik Ibsen,Renzo Novatore
Martin Heidegger,Richard Rorty
Molière,Ludvig Holberg
Plautus,Ludvig Holberg
Michel Foucault,Judith Butler
Jeremy Bentham,Cesare Beccaria
Aristotle,G. E. M. Anscombe
Ludwig Wittgenstein,G. E. M. Anscombe
Thomas Aquinas,G. E. M. Anscombe
José Ortega y Gasset,María Zambrano
Aristotle,Martha Nussbaum
Amartya Sen,Martha Nussbaum
Bertrand Russell,A. J. Ayer
Rudolf Carnap,A. J. Ayer
Gilbert Ryle,A. J. Ayer
Plato,Ferdinand Alquié
René Descartes,Ferdinand Alquié
Immanuel Kant,Ferdinand Alquié
René Descartes,Gaston Berger
Immanuel Kant,Gaston Berger
Edmund Husserl,Gaston Berger
Maurice Blondel,Gaston Berger
William David Ross,Richard Aaron
A. C. Ewing,Richard Aaron
Harold Arthur Prichard,Richard Aaron
John Cook Wilson,Richard Aaron
John Stuart Mill,Ruwen Ogien
John Rawls,Ruwen Ogien
Jacques Bouveresse,Ruwen Ogien
Ralph Waldo Emerson,Margaret Fuller
"Martin Luther King, Jr.",bell hooks
Malcolm X,bell hooks
Erich Fromm,bell hooks
Sojourner Truth,bell hooks
Paulo Freire,bell hooks
James Baldwin,bell hooks
Thich Nhat Hanh,bell hooks
Gustavo Gutiérrez,bell hooks
Lorraine Hansberry,bell hooks
Aristippus,Arete of Cyrene
Jürgen Habermas,Seyla Benhabib
Félix Ravaisson-Mollien,Jules Lachelier
Pyrrho,François de La Mothe Le Vayer
René Le Senne,Gaston Berger
Edmund Husserl,Suzanne Bachelard
Georg Wilhelm Friedrich Hegel,Francis Ellingwood Abbot
Immanuel Kant,Francis Ellingwood Abbot
"Sir William Hamilton, 9th Baronet",Francis Ellingwood Abbot
Herbert Spencer,Francis Ellingwood Abbot
Ludwig Wittgenstein,Alice Ambrose
G. E. Moore,Alice Ambrose
Morris Lazerowitz,Alice Ambrose
Immanuel Kant,Monroe Beardsley
John Dewey,Monroe Beardsley
Edward Bullough,Monroe Beardsley
Karl Marx,Carlos Astrada
Martin Heidegger,Carlos Astrada
Ludwig Wittgenstein,Annette Baier
David Hume,Annette Baier
Bernard Stiegler,Daniel Ross
Plato,Christos Androutsos
Wilhelm Wundt,Christos Androutsos
David Bohm,Jeffrey Bub
Georges Canguilhem,François Dagognet
Maurice Merleau-Ponty,Mauro Carbone
Georg Wilhelm Friedrich Hegel,James Black Baillie
F. H. Bradley,James Black Baillie
Bernard Bosanquet,James Black Baillie
Andrew Seth Pringle-Pattison,James Black Baillie
Alexander Campbell Fraser,James Black Baillie
James Balfour,James Black Baillie
Simon Somerville Laurie,James Black Baillie
Charles Sanders Peirce,Susan Haack
Mao Zedong,Aisiqi
Karl Marx,Aisiqi
Friedrich Engels,Aisiqi
Michel Foucault,Yves Charles Zarka
Samuel Alexander,John Anderson
Aristotle,Vasily Seseman
Ernst Cassirer,Vasily Seseman
Hermann Diels,Vasily Seseman
Nicolai Hartmann,Vasily Seseman
Paul Natorp,Vasily Seseman
Hermann Cohen,Vasily Seseman
Heinrich Wölfflin,Vasily Seseman
José Ortega y Gasset,Vasily Seseman
Nikolay Lossky,Vasily Seseman
Tadeusz Stefan Zieliński,Vasily Seseman
Hans Selye,Thomas Hanna
Friedrich Hayek,H. B. Acton
Karl Popper,H. B. Acton
John Niemeyer Findlay,H. B. Acton
Moses of Chorene,Q13052258
Karl Marx,Vladimir Safatle
Sigmund Freud,Vladimir Safatle
Georg Wilhelm Friedrich Hegel,Vladimir Safatle
Michel Foucault,Vladimir Safatle
Theodor W. Adorno,Vladimir Safatle
Jacques Lacan,Vladimir Safatle
Gilles Deleuze,Vladimir Safatle
Slavoj Žižek,Vladimir Safatle
David Bohm,Paavo Pylkkänen
Ramana Maharshi,Ganapati Muni
Denis Diderot,Marina Garcés
Michel Foucault,Marina Garcés
Gilles Deleuze,Marina Garcés
Maurice Merleau-Ponty,Marina Garcés
Immanuel Kant,Stephen Law
Richard Dawkins,Stephen Law
Richard J. Bernstein,Jordi Graupera i Garcia-Milà
Hans-Georg Gadamer,Luis Filipe Barreto
Jacques Derrida,Luis Filipe Barreto
Plato,Pierre-Jean Labarrière
Georg Wilhelm Friedrich Hegel,Pierre-Jean Labarrière
Immanuel Kant,Pierre-Jean Labarrière
Plato,Metrofan Aksyonov
Immanuel Kant,Metrofan Aksyonov
Baruch Spinoza,Metrofan Aksyonov
"Karl, Freiherr von Prel",Metrofan Aksyonov
Georg Wilhelm Friedrich Hegel,Ángel Amor Ruibal
Thomas Aquinas,Q29439790
Blaise Pascal,Pierre Raymond
Vladimir Lenin,Pierre Raymond
Karl Marx,Pierre Raymond
Georg Wilhelm Friedrich Hegel,Pierre Raymond
Michel Foucault,Pierre Raymond
Henri Poincaré,Pierre Raymond
Louis Althusser,Pierre Raymond
Gilles Deleuze,Pierre Raymond
Gaston Bachelard,Pierre Raymond
Alexandre Koyré,Pierre Raymond
Georges Canguilhem,Pierre Raymond
Jean Cavaillès,Pierre Raymond
Michel Foucault,Roberto Esposito
Aristippus,Hegesias of Cyrene
