Paul Feyerabend
Ingeborg Bachmann
Otto Weininger
Richard Nikolaus von Coudenhove-Kalergi
Otto Neurath
Pinchas Lapide
Alexius Meinong
Christian von Ehrenfels
Theodor Gomperz
Carl von Rokitansky
Hugo Bergmann
Josef Popper-Lynkeus
Ferdinand Ebner
Othmar Spann
Ludwig Landgrebe
Philipp Frank
Anaximenes of Miletus
Henri Poincaré
Karl Popper
Aldous Huxley
George Berkeley
Samuel Taylor Coleridge
"Claude Henri de Rouvroy, comte de Saint-Simon"
Antonio Gramsci
Anaxagoras
Empedocles
Hans Kelsen
Ivan Illich
Volker Zotz
Ludwig von Mises
Richard von Mises
Ludwig Boltzmann
André Gorz
Karl Loewenstein
Wilhelm Reich
Martin Buber
Julius von Kirchmann
Hans Hahn
Robert von Zimmermann
Anton Günther
Rudolf Eisler
Felix Kaufmann
Richard Kroner
Kurt Baier
Hans Köchler
Peter Joseph Elvenich
Ignaz Maybaum
A. M. Willner
Edgar Zilsel
Elisabeth Beck-Gernsheim
Robert Reininger
Werner Rolfinck
Otto Walper
Karl Theodor Bayrhoffer
Victor Kraft
Olga Hahn-Neurath
Felix Weltsch
Nachman Krochmal
Adolph Stöhr
Heinrich Gomperz
Nicole C. Karafyllis
Clemens Baeumker
Gustav Bergmann
Ernst Friedrich Apelt
Friedrich Wilhelm Carové
Hubert Schleichert
Helene von Druskowitz
Frithjof Bergmann
Martin A. Hainz
Ursula Wolf
Tuiskon Ziller
Reiner Schürmann
Hermann Ulrici
Gerhard Streminger
Walter Johannes Stein
Hans Lipps
Friedrich Feuerbach
Wolfgang Rautenberg
Oskar Ewald
Kurt Grelling
Jean Gebser
Richard von Schubert-Soldern
Ingo Zechner
Kurt Rudolf Fischer
Konrad Paul Liessmann
Inocenc Arnošt Bláha
Adam Lux
Julius Frauenstädt
Rudolf Maria Holzapfel
Alois Höfler
Karl Joseph Hieronymus Windischmann
Heinrich Czolbe
Kuno Lorenz
Otto Buek
Kurt Singer
Wolfgang Harich
Theodor Weber
Johann Heinrich Samuel Formey
Gustav Hartenstein
Rudolf Burger
Ernst Kurth
Hans-Joachim Niemann
Erich Heintel
David Cassel
Peter Janich
David Christiani
Emil Lask
Richard Falckenberg
Leo Gabriel
Ludwig Strümpell
Friedrich August Carus
Friedrich Groos
Ernst Mally
Helmut F. Kaplan
Karl Vorländer
Paul Helwig
Paul Hensel
Israel Meir Freimann
Johann Martin Chladenius
Pirmin Stekeler-Weithofer
Anatol Rosenfeld
Wilhelm Gottlieb Tennemann
Adolf Lasson
Hermann Schwarz
Hans-Jürgen Krahl
Solomon Steinheim
Julius Bergmann
Gerhard Krüger
Fyodor Stepun
Friedrich Harms
Alexander Moszkowski
Theobald Ziegler
Ludwig Heinrich von Jakob
Stefan Lorenz Sorgner
Friedrich Calker
Arnold Keyserling
Wolfgang Fritz Haug
Tom Stonier
Martin Kusch
Julian Nida-Rümelin
Johann Adam Bergk
Friedrich Jodl
Dietrich Mahnke
Peter Ernst von Lasaulx
Ernst Kapp
Werner Beierwaltes
Ernst Soner
Gernot Böhme
Harald Wohlrapp
Ernst Platner
Ernst Barthel
Georg Wolfgang Wedel
Heinrich Lausberg
Adolf Dyroff
Haskell Curry
Yiannis N. Moschovakis
Alonzo Church
Judea Pearl
Subhash Kak
Charles Leonard Hamblin
Jean-Paul Delahaye
Max Adler
Franc Miklošič
Herbert Feigl
Karl Menger
Paul Watzlawick
Friedrich Waismann
Ferdinando Petruccelli della Gattina
Ernst Mach
Hildegard Goss-Mayr
Alfred Schütz
Hans-Dieter Klein
Viktor Stern
Jürgen Mittelstraß
Otto Pöggeler
Wilhelm Nestle
Georg Gustav Fülleborn
Traugott Konstantin Oesterreich
Augusta Louise zu Stolberg-Stolberg
Ansgar Beckermann
Johann Christoph Wichmannshausen
Johannes Lippius
Matthias Knutzen
Edmund Pfleiderer
Günther Schack
Ernst Theodor Echtermeyer
Georg Friedrich Meier
Anselm Haverkamp
Ernst Simon
Ludwig Babenstuber
Martin Moller
Stephen Born
Arnold Schölzel
Heinz-Dieter Ebbinghaus
Julius Duboc
Georg Joachim Zollikofer
Frederick Mayer
Friedrich Samuel Bock
Moritz Carrière
Karl Fortlage
Alfred Brunswig
Peter Wust
Theodor Sternberg
Lazarus Bendavid
Heinrich Christoph Wilhelm Sigwart
Johann Friedrich Dübner
Mercedes Bunz
Johann Friedrich Flatt
Walter Schulz
Joseph Hillebrand
Johann Philipp Siebenkees
Georg Pictorius
Ernst Meister
Valentin Alberti
Max Heinze
Jean Marie Rodolph Eickemayer
Otto Friedrich Gruppe
Heinrich Paxmann
Annemarie Gethmann-Siefert
Christoph Schrempf
Konrad Engelbert Oelsner
Wolfgang Müller-Lauter
Jakob Guttmann
Arno Ros
Daniel Clasen
Andreas Joseph Hofmann
Peter Koslowski
Richard Rudolf Walzer
Heiner Bielefeldt
Karl Schuhmann
Werner Janssen
Annemarie Pieper
Hugo Delff
Johann Nepomuk Oischinger
Ruth Lapide
Otto Casmann
Jerzy Drewnowski
Magnus Hundt
Otto Willmann
Johann Friedrich Fischer
Johann Benjamin Erhard
Johann Anton Trinius
Erik Wolf
Ernst Behler
Tobias Adami
Dolf Sternberger
Paul Yorck von Wartenburg
Mary Wollstonecraft
Robert Vischer
Gregory VIII
Helmut Reichelt
Karl Friedrich Köppen
Reinhart Maurer
Susanne Bobzien
Herman Schmalenbach
Johann Gottlieb Fichte
Walter Ehrlich
Boethius
Rolf Wiggershaus
Eugen Kühnemann
Herbert V. Günther
Ernst Heinrich Toelken
Klaus Heinrich
Irene Meichsner
Gustav Ferdinand Thaulow
Gerard Radnitzky
Karl Rottmanner
Wilhelm Schapp
Alwin Diemer
Ernst von Aster
Rudolf Boehm
Walter Dubislav
Theodor Litt
Michael Theunissen
Heinrich Schmidt
Hermann Lübbe
Carl Friedrich Göschel
Karl Albert
Klaus Held
Heinrich Scholz
Götz Briefs
Georg Meggle
August Friedrich Müller
Gerd Buchdahl
Carl Gebhardt
Johann Heinrich Pestalozzi
Leopold von Henning
Günter Abel
Heinrich Rombach
Friedrich Siegmund-Schultze
Lutz Wingert
Hans Leisegang
Johann Heinrich Ernesti
Giwi Margwelaschwili
Alexander Tille
Song Du-yul
Norbert Bolz
Käte Hamburger
Klaus-Michael Kodalle
Caspar Isenkrahe
Hermann Schweppenhäuser
Richard Harris
Karl Ulmer
Leopold Ziegler
Malte Hossenfelder
Johannes Freitagius
Heinrich Moritz Chalybäus
Kurt Flasch
Eberhard Arnold
Ulrich Steinvorth
Hermann Adalbert Daniel
Robert Zimmer
Albrecht von Müller
Ingolf U. Dalferth
Fritz Stein
Günter Asser
Martin Honecker
Julius Binder
Fritz Bamberger
Martin Deutinger
Rüdiger Schmidt-Grépály
Theodor Haering
Konrad Ott
Albert Stöckl
Adam Tanner
Franz Peter Knoodt
Heinrich Maier
Friedrich Christian Laukhard
Karl Holzamer
Henning Arnisaeus
Polykarp Leyser IV
Heide Göttner-Abendroth
Josef Simon
Johannes Rehmke
Gerhold K. Becker
Otto Flügel
Erich Rudolf Jaensch
Jacob Freudenthal
Peter Munz
Clemens Timpler
Jakob Schegk
Daniel Maichel
Reinhard Brandt
Hans-Georg Backhaus
Hans-Werner Bothe
Volker Gerhardt
Joseph Geyser
Leon Henkin
Gerardo Marotta
Hermann Schmitz
Alfons Deeken
Nathan Birnbaum
Ernst von Glasersfeld
Egon Friedell
Karl Leonhard Reinhold
Walther Schmied-Kowarzik
Julius Ebbinghaus
Claus Dierksmeier
"Karl, Freiherr von Prel"
Sadiq Jalal al-Azm
Erwin Waldschütz
Johann Fischl
Martin Balluch
Leopold Kohr
Olga Taussky-Todd
Karl H. Pribram
Heinrich Ritter
Erik von Kuehnelt-Leddihn
Franz Martin Wimmer
Anton-Joseph Dorsch
Norbert Waszek
Moritz von Egidy
Emerich Coreth
Gunther Ipsen
Hermann Mörchen
Franz Exner
Werner Marx
Herbert Witzenmann
Max Frisch
Peter Bieri
Bronisław Baczko
Jean-Pierre de Crousaz
Melchiorre Gioia
Johann Georg Sulzer
Yehoshua Yakhot
Johann Rudolf Wyss
Armin Mohler
Max Picard
Gustav Baur
Ludwig Binswanger
Paul Häberlin
Boris Parygin
Jean-Louis de Lolme
Wallace Wattles
Peter Henrici
Friedrich von Hahn
Marian Zdziechowski
Johann Christian Lossius
Moritz Brasch
Eugenio Asensio
Daniel Nettelbladt
Georgy Aleksandrov
Günter Ropohl
Christian Lotz
Georg Gottlob Richter
Gerhard Vollmer
Rudolph Sutermeister
Ludwig Noiré
Dominik Perler
Hugo Kükelhaus
Henri Lauener
Inayat Khan
Nikolay Danilevsky
Erich Becher
Joachim Kahl
Mike Sandbothe
Gustav Siewerth
Alexander Ulfig
Heribert Boeder
Fritz-Joachim von Rintelen
Godehard Link
Laurentius Surius
Adolf Friedrich von Reinhard
Elmar Holenstein
Karl Christian Planck
Rainer Forst
Michael Gottlieb Hansch
Paul Bernays
Emerich de Vattel
Joseph Heinrich Aloysius Gügler
Andreas Speiser
Paulus Modestus Schücking
Johann Heinrich Lambert
Hans Küng
Germaine de Staël
Benjamin Constant
Michael Bordt
Jeanne Hersch
Ammonius Hermiae
Jean Piaget
Angelius Johann Daniel Aepinus
Carl Hilty
Alain de Botton
Annemarie Schwarzenbach
Anton Marty
Frithjof Schuon
Titus Burckhardt
Kurt Sternberg
Charles Bonnet
Thomas of Erfurt
Denis de Rougemont
Johann Jakob Bachofen
Marquis de Sade
Oswald Schwemmer
Henri-Frédéric Amiel
Johann Kaspar Lavater
Richard Tarnas
Alexandre Vinet
Gottfried Ploucquet
Christian Gottlieb Selle
Ernst Ehrlich
Günther Patzig
Andreas Weber
Wolfram Eilenberger
Isaak Iselin
Cratylus
William James
Johann Baptist Schad
Parmenides
Michael Landmann
Hans Barth
Paul Hoyningen-Huene
William Alston
Miklós Almási
Thomas Paine
Ignacio Burk
Ferid Muhić
William Hazlitt
Johann Christoph Schwab
Peter Schütt
Hugo Kołłątaj
Maimonides
Johan Vilhelm Snellman
Claude Lévi-Strauss
István Mészáros
Éva Ancsel
Lyubov Axelrod
Abram Deborin
Sergey Kara-Murza
René Girard
Arturo Ardao
Mehmet Aydın
Leslie Green
Xenophon
Sigfrid Gauch
Marcantonio Zimara
Henryk Struve
François-André-Adrien Pluquet
Jacques Derrida
Agustín García Calvo
Johannes Sløk
Vigdis Songe-Møller
bieja culia
Henry David Thoreau
Lee Kuan Yew
George Eliot
Harry Houdini
Xenophanes
Criss Angel
John Dewey
Zeno of Elea
Amartya Sen
Ayn Rand
Adrian IV
John Adolphus Etzler
Franciscus Titelmans
Plotinus
George Boole
Aeneas of Gaza
Poul Martin Møller
Henri Ey
Krunoslav Draganović
Lucius Tarrutius
Gershom Scholem
Anton Jamnik
Richard Burthogge
Zacharias Rhetor
Seleucus of Seleucia
Alexis de Tocqueville
Bolesław Prus
Herbert Spencer
Zaki al-Arsuzi
Thomas Carlyle
György Lukács
Theodor W. Adorno
Susan Sontag
José Ortega y Gasset
Rita of Cascia
Emmanuel Levinas
Ajita Kesakambali
Jean le Rond d'Alember
Gabriel Marcel
Alcuin
Nicholas of Cusa
Hugo Grotius
Julien Benda
Johann Gottfried Herder
Chinua Achebe
Luitzen Egbertus Jan Brouwer
Roman Jakobson
Pierre Bourdie
Sarvepalli Radhakrishnan
Zoran Đinđić
Ernest Renan
Karl Wilhelm Friedrich Schlegel
Simone Weil
Leszek Kołakowski
Cornelius Castoriadis
W.E.B. Du Bois
Zygmunt Bauman
Prince Charles Alexander of Lorraine
Russell Kirk
Adam Weishaupt
Joseph Priestley
Gianni Vattimo
Julia Kristeva
Dimitrie Cantemir
David Ricardo
Theophrastus
Norbert of Xanten
Rabanus Maurus
Angela Davis
Al-Farabi
Roger Garaudy
Raymond Aron
Kazimierz Kuratowski
Arimasa Mori
Ion of Chios
Pelagius
Henri Lefebvre
Michael Polanyi
Hierax
Fabrizio del Carretto
Mary Hesse
Pierre Louis Maupertuis
Girolamo Savonarola
Leucippus
Edmund Burke
Isidore of Seville
Eugene IV
Geber
Friedrich Heinrich Jacobi
John Desmond Bernal
David Brewster
Muhammad ibn Zakariya al-Razi
Protagoras
Zeami Motokiyo
Ernest Gellner
Hans Reichenbach
Origen
Apuleius
Nagarjuna
Zeno of Citium
Roger Bacon
Marcus Junius Brutus
John Rawls
Giacomo Leopardi
Chinmayananda Saraswati
Fernando Pessoa
John Wycliffe
Sylvère Lotringer
Stanislav Komárek
Teresa of Ávila
Tertullian
Nigidius Figulus
Nisargadatta Maharaj
August Cieszkowski
Timaeus of Locri
Raymond of Barbastro
Donald A. Martin
Walker Percy
Hakuin Ekaku
Ban Zhao
Mario de la Cueva
Nasreddin
Giambattista Vico
Alexander Hamilton
Donald Phillip Verene
Roland Barthes
John Ruskin
Antisthenes
Jiddu Krishnamurti
Al-Kindi
Stephen Jay Gould
Mohammad Khatami
Lev Vygotsky
Jaegwon Kim
Adi Shankara
Jane Addams
Charles Fourier
Leone Battista Alberti
Irenaeus
Giovanni Pico della Mirandola
Brice Parain
Jean Baudrillard
Georgi Plekhanov
Juana Inés de la Cruz
Adam Ferguson
Ramakrishna
Epictetus
G. K. Chesterton
Alfred North Whitehead
Ilya Prigogine
Alija Izetbegović
Louis Althusser
Gilles Deleuze
Johannes Scotus Eriugena
Gerolamo Cardano
Nicolai Berdyaev
Bernard Bolzano
Slavoj Žižek
Thomas Kuhn
Miguel de Unamuno
Justin Martyr
Eudoxus of Cnidus
Priscian of Lydia
Mikhail Bakhtin
Jostein Gaarder
Posidonius
Emmanuel Swedenborg
Sultanmahmut Toraygirov
Menahem Recanati
Joseph D. Sneed
Nikolai Bukharin
Bodhidharma
Giuseppe Mazzini
Zeljko Loparić
Claude Dupuy
Charles Sanders Peirce
Alcmaeon of Croton
Ian Hacking
Bernard of Clairvaux
William Godwin
Marin Mersenne
Clement of Alexandria
Mencius
Rubem Alves
Helena Blavatsky
Aristippus
Philo
Zenobius
Zenodotus
Zeno of Sidon
Zeno of Tarsus
Duns Scotus
Cyprian
Claude Adrien Helvétius
Jean Bodin
Francis Galton
Giuseppe Peano
Tommaso Campanella
Diogenes of Apollonia
Paul Ricœur
Yun Chi-ho
Muhammad ibn Jarir al-Tabari
Sri Aurobindo
Pyrrho
Pierre Gassendi
Nikolay Chernyshevsky
Benedetto Croce
Hermes Trismegistus
Cassiodorus
Marsilio Ficino
William Gilbert
Vissarion Belinsky
Jean-François Lyotard
Emil Cioran
Ramon Llull
Frantz Fanon
Roger Penrose
Marshall McLuhan
Attar of Nishapur
Syed Ahmed Khan
Ze’ev Levy
Zhang Binglin
Zhang Daoling
Zhang Heng
Zhang Zai
Zheng Xuan
Zhou Dunyi
Rosemary Radford Ruether
Said Nursî
Joachim of Fiore
Maria Gaetana Agnesi
Paul Valéry
Alexander Herzen
Marcion of Sinope
Jean-Antoine-Nicolas de Caritat de Condorcet
John Dee
Archytas
Gabriel Bonnot de Mably
Ibn al-Farid
Porphyry
Lawrence Giustiniani
Metrodorus of Stratonicea
Bridget of Sweden
Isaiah Berlin
Robert Nozick
Marcus Terentius Varro
Maximus the Confessor
Olympe de Gouges
Georges Bataille
Alfred Tarski
Amir Khosrow
John Wallis
Augustus De Morgan
Nicholas Roerich
Lactantius
William Penn
Joseph Nye
Hippias
Sayyid Qutb
Yang Rongguo
Chrysippus of Soli
Peter Singer
Philolaus
Maurice Merleau-Ponty
Steven Pinker
Samuel Adams
David Shepherd Nivison
Burrhus Frederic Skinner
John Wesley
Moses Hess
Karl Christian Friedrich Krause
Eberhard August Wilhelm von Zimmermann
Cyrano de Bergerac
Adolph Freiherr Knigge
Alfred Sohn-Rethel
Raymond Klibansky
Christian Garve
Paul Edwards
Lorenzo Valla
Luciano Floridi
Xenocrates
Fritz Heinemann
Emil Felden
Joseph Rovan
Thomas Christian Tychsen
Joseph Zerboni di Sposetti
Michael Georg Conrad
Richard Hönigswald
Otto Kirchheimer
Gregory Baum
Victor Mordechai Goldschmidt
Nikos Kazantzakis
Karl Heinrich Heydenreich
Joseph Franz Molitor
Pierre Bayle
Constantin Brunner
Robert S. Hartman
Otto Caspari
Willard Van Orman Quine
Arthur Eddington
Aron Gurwitsch
Karl Daub
Leo Kofler
Wolfgang Stegmüller
Richard Rorty
Daniel Dennett
Joachim Georg Darjes
Johann Georg Heinrich Feder
Erich Heller
Stéphane Mosès
Julius Rupp
Wilhelm Traugott Krug
Vilém Flusser
Jonas Cohn
Arthur Ruppin
Abraham Joshua Heschel
Alfred Schmidt
Willi Apel
Yeshayahu Leibowitz
Johann Beckmann
Jacob Klein
Hugo Dingler
Xunzi
Nicholas Rescher
Ludwig Marcuse
Jakob Klatzkin
Ludvig Holberg
John Venn
Alexander Radishchev
